inf_completa,uf_extenso
"DA CONCEIÇÃO, AL",ALAGOAS
"ROCHA, BA",BAHIA
"JESUS, ES",ESPÍRITO SANTO
"FREITAS DE LIMA, ES",ESPÍRITO SANTO
"FERREIRA DE MINAS, RS",RIO GRANDE DO SUL
"FOGAÇA, AC",ACRE
"DA ROCHA, DF",DISTRITO FEDERAL
"NOVAIS, RR",RORAIMA
"DA CUNHA DE RIBEIRO, SC",SANTA CATARINA
"CAVALCANTE, RR",RORAIMA
"PIMENTA, AM",AMAZONAS
"NOVAES, SE",SERGIPE
"CORREIA, TO",TOCANTINS
"PIMENTA DO SUL, RN",RIO GRANDE DO NORTE
"LOPES, PE",PERNAMBUCO
"FERREIRA DA SERRA, TO",TOCANTINS
"DA ROSA, SP",SÃO PAULO
"CUNHA, MT",MATO GROSSO
"DA CONCEIÇÃO, CE",CEARÁ
"RIBEIRO, MT",MATO GROSSO
"LIMA DE ARAGÃO, DF",DISTRITO FEDERAL
"CASTRO DO CAMPO, BA",BAHIA
"GONÇALVES, PA",PARÁ
"RODRIGUES DA PRATA, PI",PIAUÍ
"REZENDE DAS FLORES, SE",SERGIPE
"RIOS DO OESTE, GO",GOIÁS
"PASTOR DE VARGAS, SP",SÃO PAULO
"CASSIANO DE MONTENEGRO, SP",SÃO PAULO
"DA MATA DE MONTENEGRO, MS",MATO GROSSO DO SUL
"DA CRUZ, PE",PERNAMBUCO
"LEÃO DE CUNHA, MG",MINAS GERAIS
"DA MOTA DE SOUSA, SC",SANTA CATARINA
"PASTOR, PE",PERNAMBUCO
"NASCIMENTO DE GOIÁS, AP",AMAPÁ
"CASA GRANDE DE CARVALHO, RS",RIO GRANDE DO SUL
"CAVALCANTE VERDE, RJ",RIO DE JANEIRO
"DAS NEVES DE GARCIA, BA",BAHIA
"FERNANDES, RN",RIO GRANDE DO NORTE
"CAVALCANTI, TO",TOCANTINS
"BARROS DO AMPARO, BA",BAHIA
"GUERRA, PA",PARÁ
"PORTO DO GALHO, RN",RIO GRANDE DO NORTE
"DA CONCEIÇÃO DAS PEDRAS, PI",PIAUÍ
"PIMENTA ALEGRE, PI",PIAUÍ
"CIRINO DA MATA, GO",GOIÁS
"MARQUES DE PORTO, PB",PARAÍBA
"DUARTE DO CAMPO, PB",PARAÍBA
"NOGUEIRA, SC",SANTA CATARINA
"VASCONCELOS, SC",SANTA CATARINA
"MOURA DAS FLORES, MG",MINAS GERAIS
"CAVALCANTE, SP",SÃO PAULO
"SIQUEIRA, MS",MATO GROSSO DO SUL
"FOGAÇA, SE",SERGIPE
"ABREU, PB",PARAÍBA
"APARECIDA, RS",RIO GRANDE DO SUL
"BARBOSA, RO",RONDÔNIA
"MELO, TO",TOCANTINS
"ROCHA DE GOIÁS, GO",GOIÁS
"PORTO, MA",MARANHÃO
"CALDEIRA DE VIANA, RJ",RIO DE JANEIRO
"SILVEIRA, SC",SANTA CATARINA
"DA ROSA, GO",GOIÁS
"MENDES VERDE, PI",PIAUÍ
"AZEVEDO, AP",AMAPÁ
"ARAGÃO, PE",PERNAMBUCO
"CARVALHO DO OESTE, RO",RONDÔNIA
"DAS NEVES DAS FLORES, RN",RIO GRANDE DO NORTE
"MACHADO DO GALHO, PB",PARAÍBA
"PEREIRA, PA",PARÁ
"REZENDE, RJ",RIO DE JANEIRO
"PACHECO, BA",BAHIA
"COSTA DE PINTO, MG",MINAS GERAIS
"MOREIRA ALEGRE, GO",GOIÁS
"PIMENTA DAS FLORES, GO",GOIÁS
"APARECIDA, PA",PARÁ
"VARGAS DE ALMEIDA, TO",TOCANTINS
"COSTA DO SUL, MS",MATO GROSSO DO SUL
"MACHADO GRANDE, MG",MINAS GERAIS
"CAVALCANTI, RS",RIO GRANDE DO SUL
"COSTELA, MT",MATO GROSSO
"VARGAS, BA",BAHIA
"ARAÚJO PAULISTA, AM",AMAZONAS
"MELO DA PRATA, RJ",RIO DE JANEIRO
"ARAGÃO, MS",MATO GROSSO DO SUL
"BORGES DE BARBOSA, MG",MINAS GERAIS
"MOREIRA DO AMPARO, BA",BAHIA
"MARTINS DO AMPARO, PE",PERNAMBUCO
"CÂMARA, PE",PERNAMBUCO
"CAVALCANTE, AM",AMAZONAS
"FERREIRA, PA",PARÁ
"DA LUZ DE GOIÁS, SC",SANTA CATARINA
"SOUSA, MG",MINAS GERAIS
"RODRIGUES, PB",PARAÍBA
"AZEVEDO, GO",GOIÁS
"GOMES, TO",TOCANTINS
"BARROS DA MATA, MA",MARANHÃO
"BARROS DO OESTE, AM",AMAZONAS
"ABREU, TO",TOCANTINS
"DIAS DAS FLORES, RR",RORAIMA
"PACHECO, AC",ACRE
"CARVALHO, MG",MINAS GERAIS
"GARCIA DO AMPARO, AL",ALAGOAS
"ARAÚJO DE CORREIA, RN",RIO GRANDE DO NORTE
"MACHADO DA SERRA, RS",RIO GRANDE DO SUL
"MOURA, RJ",RIO DE JANEIRO
"ARAGÃO, AL",ALAGOAS
"FERREIRA, AC",ACRE
"MENDES, DF",DISTRITO FEDERAL
"DA LUZ, SC",SANTA CATARINA
"ALBUQUERQUE DO OESTE, AP",AMAPÁ
"SIQUEIRA, MS",MATO GROSSO DO SUL
"APARECIDA DAS FLORES, MT",MATO GROSSO
"CAVALCANTE, ES",ESPÍRITO SANTO
"OLIVEIRA DA MATA, RJ",RIO DE JANEIRO
"NOVAES, PA",PARÁ
"FONSECA GRANDE, PA",PARÁ
"ALMEIDA, MS",MATO GROSSO DO SUL
"RIOS, DF",DISTRITO FEDERAL
"GOMES ALEGRE, AL",ALAGOAS
"MACEDO GRANDE, MS",MATO GROSSO DO SUL
"PORTO, PB",PARAÍBA
"ALVES, AC",ACRE
"ALVES DA SERRA, PA",PARÁ
"MARTINS, BA",BAHIA
"FERNANDES DA SERRA, MT",MATO GROSSO
"COSTA DAS PEDRAS, AP",AMAPÁ
"ABREU, PA",PARÁ
"PIRES, MG",MINAS GERAIS
"NUNES DE MINAS, AM",AMAZONAS
"ABREU DE BARROS, CE",CEARÁ
"NUNES, PB",PARAÍBA
"CASTRO, CE",CEARÁ
"BARROS, MT",MATO GROSSO
"VIANA, RS",RIO GRANDE DO SUL
"PASTOR VERDE, PB",PARAÍBA
"CIRINO DO CAMPO, PB",PARAÍBA
"AZEVEDO, MT",MATO GROSSO
"DA CUNHA, RN",RIO GRANDE DO NORTE
"RIOS DE ABREU, PA",PARÁ
"PEIXOTO, MG",MINAS GERAIS
"PIRES DE SALES, AM",AMAZONAS
"MENDES GRANDE, MA",MARANHÃO
"ALBUQUERQUE, SP",SÃO PAULO
"MARQUES, RS",RIO GRANDE DO SUL
"BRITO, ES",ESPÍRITO SANTO
"CIRINO DE CALDEIRA, MS",MATO GROSSO DO SUL
"DA MOTA, RN",RIO GRANDE DO NORTE
"SÁ, RN",RIO GRANDE DO NORTE
"FERREIRA, TO",TOCANTINS
"BRITO DE MINAS, BA",BAHIA
"ALBUQUERQUE, RS",RIO GRANDE DO SUL
"SOUSA DE MINAS, SE",SERGIPE
"SÁ, RN",RIO GRANDE DO NORTE
"FREITAS DE MINAS, DF",DISTRITO FEDERAL
"PORTO, AC",ACRE
"NOVAES DA PRAIA, RJ",RIO DE JANEIRO
"MENDONÇA, MS",MATO GROSSO DO SUL
"FERNANDES, CE",CEARÁ
"PASTOR DE MELO, RN",RIO GRANDE DO NORTE
"SOUZA DA SERRA, RN",RIO GRANDE DO NORTE
"CAVALCANTE, DF",DISTRITO FEDERAL
"JESUS, AC",ACRE
"AZEVEDO, RN",RIO GRANDE DO NORTE
"CÂMARA, AM",AMAZONAS
"CIRINO DE CORREIA, RS",RIO GRANDE DO SUL
"DA ROSA DE MACEDO, ES",ESPÍRITO SANTO
"JESUS, RO",RONDÔNIA
"DA MATA GRANDE, AC",ACRE
"GUERRA DO NORTE, AP",AMAPÁ
"APARECIDA, RJ",RIO DE JANEIRO
"COSTELA DE APARECIDA, RN",RIO GRANDE DO NORTE
"CUNHA, ES",ESPÍRITO SANTO
"SAMPAIO DA MATA, RO",RONDÔNIA
"MARQUES, RR",RORAIMA
"PORTO DE CASSIANO, GO",GOIÁS
"ABREU PAULISTA, SC",SANTA CATARINA
"CARDOSO, SP",SÃO PAULO
"CUNHA, MT",MATO GROSSO
"MOREIRA ALEGRE, PE",PERNAMBUCO
"SILVEIRA, SE",SERGIPE
"ARAGÃO, SC",SANTA CATARINA
"CARDOSO, GO",GOIÁS
"CALDEIRA, RS",RIO GRANDE DO SUL
"PACHECO DE PACHECO, BA",BAHIA
"ARAGÃO PAULISTA, RJ",RIO DE JANEIRO
"MOREIRA, RS",RIO GRANDE DO SUL
"VASCONCELOS DA MATA, PR",PARANÁ
"NOGUEIRA, PA",PARÁ
"GUERRA, SP",SÃO PAULO
"PIMENTA DE MOREIRA, PB",PARAÍBA
"ALBUQUERQUE, RJ",RIO DE JANEIRO
"CORREIA ALEGRE, RS",RIO GRANDE DO SUL
"MARQUES PAULISTA, CE",CEARÁ
"DA COSTA, RS",RIO GRANDE DO SUL
"DA MOTA, AC",ACRE
"LIMA DO CAMPO, PI",PIAUÍ
"LEÃO, PE",PERNAMBUCO
"BARBOSA DOS DOURADOS, DF",DISTRITO FEDERAL
"DUARTE DE MINAS, MT",MATO GROSSO
"PIRES, PR",PARANÁ
"VASCONCELOS, AP",AMAPÁ
"CARVALHO, MT",MATO GROSSO
"REZENDE PAULISTA, PE",PERNAMBUCO
"APARECIDA, MT",MATO GROSSO
"MOREIRA, RO",RONDÔNIA
"COSTA DO NORTE, PA",PARÁ
"RODRIGUES, SC",SANTA CATARINA
"ABREU DE GOIÁS, RJ",RIO DE JANEIRO
"MENDONÇA, RN",RIO GRANDE DO NORTE
"DA COSTA DE CALDEIRA, RS",RIO GRANDE DO SUL
"ALBUQUERQUE DE LOPES, PA",PARÁ
"AZEVEDO DOS DOURADOS, CE",CEARÁ
"RIBEIRO DE DA MOTA, AC",ACRE
"ARAÚJO DE GOMES, PE",PERNAMBUCO
"DA COSTA, ES",ESPÍRITO SANTO
"DA LUZ DA PRATA, AP",AMAPÁ
"MONTEIRO, GO",GOIÁS
"FOGAÇA DO GALHO, MG",MINAS GERAIS
"SAMPAIO DAS PEDRAS, PE",PERNAMBUCO
"DA ROCHA, MS",MATO GROSSO DO SUL
"CAMPOS, MT",MATO GROSSO
"CARDOSO DO CAMPO, AM",AMAZONAS
"PACHECO, RO",RONDÔNIA
"FREITAS DO GALHO, SC",SANTA CATARINA
"SIQUEIRA DO SUL, AC",ACRE
"DA ROCHA DO AMPARO, MG",MINAS GERAIS
"REZENDE DA PRATA, PA",PARÁ
"RAMOS DO GALHO, RN",RIO GRANDE DO NORTE
"CASSIANO, BA",BAHIA
"AZEVEDO DE DA ROCHA, SC",SANTA CATARINA
"GONÇALVES DA SERRA, SC",SANTA CATARINA
"DUARTE, MG",MINAS GERAIS
"ROCHA DA SERRA, RN",RIO GRANDE DO NORTE
"DAS NEVES, RS",RIO GRANDE DO SUL
"LEÃO, MS",MATO GROSSO DO SUL
"GARCIA DE GOIÁS, PI",PIAUÍ
"FARIAS, SE",SERGIPE
"DA COSTA DO CAMPO, GO",GOIÁS
"MELO, PA",PARÁ
"COSTA, SP",SÃO PAULO
"PEREIRA, MT",MATO GROSSO
"CUNHA, AP",AMAPÁ
"ARAÚJO, RN",RIO GRANDE DO NORTE
"MENDONÇA, TO",TOCANTINS
"MARTINS, PI",PIAUÍ
"AZEVEDO DA PRAIA, MA",MARANHÃO
"MONTEIRO, RN",RIO GRANDE DO NORTE
"ANDRADE DAS FLORES, AM",AMAZONAS
"PORTO DA MATA, BA",BAHIA
"MENDES, DF",DISTRITO FEDERAL
"MENDES DO CAMPO, PE",PERNAMBUCO
"COSTA DE RIBEIRO, RN",RIO GRANDE DO NORTE
"ROCHA, AL",ALAGOAS
"CAMPOS DE ALVES, RO",RONDÔNIA
"FOGAÇA, RR",RORAIMA
"PIMENTA, AM",AMAZONAS
"DA CONCEIÇÃO DAS PEDRAS, PA",PARÁ
"DA LUZ DO SUL, ES",ESPÍRITO SANTO
"BRITO DE ALBUQUERQUE, AP",AMAPÁ
"PINTO, SE",SERGIPE
"RIOS DE CAMARGO, ES",ESPÍRITO SANTO
"CAVALCANTE, AP",AMAPÁ
"CASSIANO DE ALBUQUERQUE, PR",PARANÁ
"DA MOTA, SE",SERGIPE
"MOURA, RN",RIO GRANDE DO NORTE
"ABREU DE DA COSTA, PI",PIAUÍ
"LOPES DE PEREIRA, RS",RIO GRANDE DO SUL
"SAMPAIO DE MINAS, AL",ALAGOAS
"SIQUEIRA, AP",AMAPÁ
"MACHADO, DF",DISTRITO FEDERAL
"SÁ, SC",SANTA CATARINA
"CIRINO, SE",SERGIPE
"PACHECO, RN",RIO GRANDE DO NORTE
"LOPES VERDE, SP",SÃO PAULO
"COSTA, ES",ESPÍRITO SANTO
"FERREIRA DE JESUS, PE",PERNAMBUCO
"VIANA, PR",PARANÁ
"MELO DO NORTE, RN",RIO GRANDE DO NORTE
"DA LUZ DO CAMPO, CE",CEARÁ
"CASSIANO, AM",AMAZONAS
"BARBOSA PAULISTA, PA",PARÁ
"FOGAÇA ALEGRE, PI",PIAUÍ
"TEIXEIRA, MG",MINAS GERAIS
"APARECIDA, AM",AMAZONAS
"PIRES DE PACHECO, ES",ESPÍRITO SANTO
"PORTO DE GOMES, GO",GOIÁS
"ALMEIDA, AC",ACRE
"FONSECA, MT",MATO GROSSO
"CAVALCANTI DE MINAS, AL",ALAGOAS
"JESUS, TO",TOCANTINS
"ALMEIDA DA MATA, RN",RIO GRANDE DO NORTE
"PEREIRA, RJ",RIO DE JANEIRO
"CAMARGO DO GALHO, DF",DISTRITO FEDERAL
"LEÃO DE LIMA, MG",MINAS GERAIS
"FERNANDES GRANDE, RJ",RIO DE JANEIRO
"DA ROCHA DE GOIÁS, AL",ALAGOAS
"CAMARGO, RN",RIO GRANDE DO NORTE
"PACHECO, RS",RIO GRANDE DO SUL
"VIEIRA, PE",PERNAMBUCO
"LOPES DO NORTE, ES",ESPÍRITO SANTO
"LOPES DA MATA, SC",SANTA CATARINA
"DA PAZ DA SERRA, MS",MATO GROSSO DO SUL
"RODRIGUES DE RIOS, PR",PARANÁ
"FARIAS DA MATA, RO",RONDÔNIA
"MENDES, DF",DISTRITO FEDERAL
"GUERRA GRANDE, RN",RIO GRANDE DO NORTE
"LOPES DA MATA, CE",CEARÁ
"CORREIA GRANDE, BA",BAHIA
"MACHADO DE BORGES, SC",SANTA CATARINA
"BARROS, AL",ALAGOAS
"NUNES, RO",RONDÔNIA
"PORTO DE SOUSA, RO",RONDÔNIA
"BORGES DO NORTE, MG",MINAS GERAIS
"SIQUEIRA, RR",RORAIMA
"PEIXOTO DE PASTOR, BA",BAHIA
"VASCONCELOS DO SUL, SC",SANTA CATARINA
"CASSIANO DE GOIÁS, RN",RIO GRANDE DO NORTE
"ARAGÃO, TO",TOCANTINS
"SOUZA GRANDE, SE",SERGIPE
"PIRES DO AMPARO, AM",AMAZONAS
"DA ROSA DE ALMEIDA, GO",GOIÁS
"CARVALHO DE ALVES, PB",PARAÍBA
"PIRES, DF",DISTRITO FEDERAL
"NOVAES PAULISTA, SE",SERGIPE
"PEIXOTO DE DAS NEVES, AM",AMAZONAS
"REZENDE DAS PEDRAS, PI",PIAUÍ
"GUERRA, RS",RIO GRANDE DO SUL
"CALDEIRA DOS DOURADOS, SE",SERGIPE
"COSTA, SE",SERGIPE
"NOVAES DE NUNES, SP",SÃO PAULO
"SOUSA VERDE, RJ",RIO DE JANEIRO
"MORAES DAS PEDRAS, PE",PERNAMBUCO
"DA LUZ, PB",PARAÍBA
"VIANA DE GOIÁS, SP",SÃO PAULO
"CIRINO, RN",RIO GRANDE DO NORTE
"LIMA DE DA MATA, PA",PARÁ
"ALVES DA MATA, MA",MARANHÃO
"ALMEIDA PAULISTA, AL",ALAGOAS
"SAMPAIO DO GALHO, TO",TOCANTINS
"MOREIRA DE GOIÁS, MS",MATO GROSSO DO SUL
"CASSIANO DE PASTOR, AM",AMAZONAS
"CAVALCANTI DO CAMPO, SC",SANTA CATARINA
"DA PAZ, PB",PARAÍBA
"CIRINO DE GOIÁS, SC",SANTA CATARINA
"SILVA, DF",DISTRITO FEDERAL
"DA CUNHA, AM",AMAZONAS
"CARDOSO, BA",BAHIA
"CASTRO, MG",MINAS GERAIS
"PIRES DAS PEDRAS, BA",BAHIA
"DA CONCEIÇÃO DO OESTE, GO",GOIÁS
"ALBUQUERQUE DO SUL, SP",SÃO PAULO
"DA CUNHA DA SERRA, CE",CEARÁ
"CAMPOS, MT",MATO GROSSO
"DUARTE, AP",AMAPÁ
"SANTOS DO GALHO, RO",RONDÔNIA
"ARAGÃO, MS",MATO GROSSO DO SUL
"OLIVEIRA DE GOIÁS, PA",PARÁ
"DA CRUZ, TO",TOCANTINS
"ALVES DE APARECIDA, GO",GOIÁS
"NUNES, MT",MATO GROSSO
"ARAGÃO, MA",MARANHÃO
"REZENDE DA PRAIA, AM",AMAZONAS
"SOUZA DE DA CONCEIÇÃO, MA",MARANHÃO
"VIANA, PB",PARAÍBA
"VIEIRA DE SILVA, RS",RIO GRANDE DO SUL
"MOREIRA DE LOPES, MA",MARANHÃO
"RODRIGUES, AC",ACRE
"CORREIA PAULISTA, MA",MARANHÃO
"RAMOS, PA",PARÁ
"MARTINS DE MINAS, AC",ACRE
"LEÃO DE FERREIRA, MS",MATO GROSSO DO SUL
"JESUS VERDE, PR",PARANÁ
"FERREIRA DE GOIÁS, PR",PARANÁ
"JESUS DE PASTOR, AL",ALAGOAS
"DA COSTA DA PRAIA, BA",BAHIA
"FONSECA PAULISTA, RJ",RIO DE JANEIRO
"RODRIGUES DE DUARTE, PR",PARANÁ
"BARBOSA DE LIMA, MS",MATO GROSSO DO SUL
"DA MATA, SC",SANTA CATARINA
"FERNANDES, SP",SÃO PAULO
"SILVEIRA DE DA CONCEIÇÃO, PR",PARANÁ
"FARIAS, SP",SÃO PAULO
"ANDRADE, PA",PARÁ
"SAMPAIO DE GOIÁS, MG",MINAS GERAIS
"DA ROCHA DE ALVES, AL",ALAGOAS
"OLIVEIRA DA SERRA, CE",CEARÁ
"VASCONCELOS, SE",SERGIPE
"FARIAS DE REZENDE, CE",CEARÁ
"MENDONÇA DO NORTE, AC",ACRE
"BRITO DE MORAES, RN",RIO GRANDE DO NORTE
"GUERRA, PR",PARANÁ
"MONTEIRO DA SERRA, MA",MARANHÃO
"GARCIA, PB",PARAÍBA
"SOUZA DE DA COSTA, PA",PARÁ
"LIMA, MA",MARANHÃO
"RIBEIRO, CE",CEARÁ
"NOGUEIRA DOS DOURADOS, AL",ALAGOAS
"CARVALHO, SP",SÃO PAULO
"NASCIMENTO DOS DOURADOS, TO",TOCANTINS
"DA ROCHA, TO",TOCANTINS
"MOURA, PB",PARAÍBA
"SALES, AP",AMAPÁ
"DAS NEVES, RO",RONDÔNIA
"GUERRA DO SUL, BA",BAHIA
"SILVA, MS",MATO GROSSO DO SUL
"TEIXEIRA, RO",RONDÔNIA
"CASA GRANDE VERDE, RJ",RIO DE JANEIRO
"MONTEIRO DE MINAS, RO",RONDÔNIA
"CARVALHO, PA",PARÁ
"DA PAZ DE GOIÁS, RS",RIO GRANDE DO SUL
"PIRES, AL",ALAGOAS
"BORGES, PB",PARAÍBA
"OLIVEIRA, PI",PIAUÍ
"MACEDO PAULISTA, SP",SÃO PAULO
"PIMENTA DAS PEDRAS, MA",MARANHÃO
"CASA GRANDE, BA",BAHIA
"APARECIDA, RO",RONDÔNIA
"PEREIRA DO NORTE, CE",CEARÁ
"ROCHA DO SUL, SP",SÃO PAULO
"CASTRO GRANDE, GO",GOIÁS
"VASCONCELOS DO GALHO, RJ",RIO DE JANEIRO
"PACHECO DE PEIXOTO, MA",MARANHÃO
"CASSIANO, MT",MATO GROSSO
"PINTO, RN",RIO GRANDE DO NORTE
"DA CUNHA, PR",PARANÁ
"BARBOSA DE MINAS, RO",RONDÔNIA
"SILVEIRA DO NORTE, AC",ACRE
"MELO, SE",SERGIPE
"MACEDO DA SERRA, MS",MATO GROSSO DO SUL
"MARTINS DE MONTENEGRO, AL",ALAGOAS
"DA PAZ DOS DOURADOS, ES",ESPÍRITO SANTO
"SÁ, SE",SERGIPE
"RIOS, MS",MATO GROSSO DO SUL
"VIEIRA DE PASTOR, PR",PARANÁ
"DA CUNHA, ES",ESPÍRITO SANTO
"ROCHA, RJ",RIO DE JANEIRO
"RAMOS, AL",ALAGOAS
"DA MATA DE GOIÁS, TO",TOCANTINS
"MACEDO DO AMPARO, SE",SERGIPE
"JESUS, PR",PARANÁ
"GUERRA DO GALHO, DF",DISTRITO FEDERAL
"DA LUZ VERDE, RR",RORAIMA
"PACHECO DO CAMPO, GO",GOIÁS
"VIEIRA, RJ",RIO DE JANEIRO
"MELO DE SILVA, PI",PIAUÍ
"PIRES, PB",PARAÍBA
"ABREU DAS FLORES, PE",PERNAMBUCO
"NOVAES, MA",MARANHÃO
"FONSECA DA MATA, PI",PIAUÍ
"TEIXEIRA DE SALES, PA",PARÁ
"BRITO DE BORGES, PA",PARÁ
"FERNANDES, BA",BAHIA
"BORGES, MA",MARANHÃO
"CUNHA DE ALMEIDA, SE",SERGIPE
"MOREIRA, BA",BAHIA
"DA COSTA, AC",ACRE
"ANDRADE DO GALHO, RS",RIO GRANDE DO SUL
"FONSECA DE CASTRO, CE",CEARÁ
"SALES, SC",SANTA CATARINA
"FONSECA DA MATA, MG",MINAS GERAIS
"RIBEIRO, MS",MATO GROSSO DO SUL
"PORTO, MS",MATO GROSSO DO SUL
"SILVEIRA DA PRATA, RN",RIO GRANDE DO NORTE
"NUNES DE GOIÁS, GO",GOIÁS
"MACHADO, MA",MARANHÃO
"CALDEIRA DE CAMARGO, SC",SANTA CATARINA
"NOGUEIRA, PB",PARAÍBA
"RODRIGUES, MG",MINAS GERAIS
"MENDONÇA, MG",MINAS GERAIS
"CAMPOS DO SUL, AM",AMAZONAS
"PASTOR, ES",ESPÍRITO SANTO
"MONTENEGRO DO GALHO, TO",TOCANTINS
"MOURA ALEGRE, TO",TOCANTINS
"CAVALCANTE DO AMPARO, ES",ESPÍRITO SANTO
"VASCONCELOS, TO",TOCANTINS
"FREITAS, RS",RIO GRANDE DO SUL
"SIQUEIRA, GO",GOIÁS
"SÁ, SP",SÃO PAULO
"GOMES, MG",MINAS GERAIS
"ALMEIDA, SC",SANTA CATARINA
"MACEDO, SC",SANTA CATARINA
"GONÇALVES, AC",ACRE
"FARIAS VERDE, RR",RORAIMA
"NOVAIS DE CÂMARA, MS",MATO GROSSO DO SUL
"NOVAIS DA PRAIA, SP",SÃO PAULO
"CAVALCANTI DO NORTE, SE",SERGIPE
"CASA GRANDE, PA",PARÁ
"VIEIRA, MT",MATO GROSSO
"VIEIRA, PI",PIAUÍ
"NASCIMENTO DE MARQUES, AM",AMAZONAS
"VASCONCELOS GRANDE, RR",RORAIMA
"CIRINO, GO",GOIÁS
"TEIXEIRA DO CAMPO, SP",SÃO PAULO
"RIOS, RO",RONDÔNIA
"PORTO PAULISTA, PA",PARÁ
"PORTO DE DA LUZ, PA",PARÁ
"RODRIGUES DO NORTE, AC",ACRE
"SANTOS, RJ",RIO DE JANEIRO
"MARQUES, MG",MINAS GERAIS
"MARQUES DE SANTOS, AP",AMAPÁ
